,Country,Years,Total final energy consumption (TFEC) (TJ) [1.1_TOTAL.FINAL.ENERGY.CONSUM],Total electricity output (GWh) [4.1.1_TOTAL.ELECTRICITY.OUTPUT],Energy intensity level of primary energy (MJ/2011 USD PPP) [6.1_PRIMARY.ENERGY.INTENSITY],Renewable electricity share of total electricity output (%) [4.1_SHARE.RE.IN.ELECTRICITY],Renewable energy share of TFEC (%) [2.1_SHARE.TOTAL.RE.IN.TFEC],Renewable share electricity production,Wind and solar share electricity production%,Electricity generation TWh,Electricity generation from other TWh,Renewable Energy Geothermal (Installed capacity)MW,Renewable Energy Solar (Installed capacity) MW,Renewable Energy Wind  (Installed capacity) MW,Primary Energy: Consumption EJ,Renewables:Consumption EJ,WEB Services Energy Indicators indexed,Renewable installed PV Power GW,Renewable installed Wind Power GW
27,Germany,2010,8638160.04,626583,4.115335557,16.72707367,10.29351964,17.57,8.19,633.0930000000002,26.4293,8.0,18007.0,26903.0,13.70618966,0.905880564,91.0,17.37,27.214
28,Germany,2011,8211583.065,607228,3.773036713,20.38328272,11.39435591,21.14,11.55,613.070326,25.3062,8.0,25917.0,28712.0,13.20216248,1.112391585,,24.86,29.06
29,Germany,2012,8300447.226,623718,3.771810715,23.00045854,12.01513573,23.75,12.56,630.149,26.1096,12.0,34077.0,30979.0,13.36885139,1.252520955,,32.46,31.27
30,Germany,2013,8524131.747,632945,3.831755977,24.07254975,12.08907875,24.76,13.24,638.73,26.18,24.0,36711.0,33477.0,13.74595931,1.306625139,,35.77,34.25
31,Germany,2014,8130876.006,621938,3.640399424,26.13009657,13.37887823,26.82,15.22,627.7651017999998,26.913,29.0,37900.0,38614.0,13.16627917,1.429576037,,38.25,39.165
32,Germany,2015,8327614.785,640967,3.603094155,29.23177012,14.2062527,29.88,18.53,648.1492806,27.13520869,29.0,39224.0,44580.0,13.39985761,1.659035721,81.0,39.71,44.941
33,Germany,2016,..,..,..,..,..,30.02,18.16,650.707344,27.543000000000006,33.0,40679.0,49435.0,13.61972299,1.643934157,83.0,40.7,50.018
34,India,2000,12080447.48,569688,6.949594871,13.59094803,51.57934762,13.59,0.3,571.3939361,0.0,,0.0,1267.0,13.34155797,0.033787636,,0.0,1.22
35,India,2001,12162916.05,588171,6.724806376,13.20704353,51.78721923,13.21,0.38,586.0927383999998,0.0,,1.1,1456.0,13.41095659,0.042582509,,0.0,1.456
36,India,2002,12583836.53,610502,6.672001023,12.05516116,50.56944266,12.06,0.44,609.6504786,0.0,,5.5,1702.0,14.02856838,0.042953843,,0.0,1.702
37,India,2003,12722743.67,650837,6.333921729,13.46942476,50.84279906,13.47,0.55,638.1310102000001,0.0,,6.7,2125.0,14.56802106,0.053512317,,0.0,2.11
38,India,2004,13273593.71,683991,6.181107871,14.4825005,49.72402461,14.48,0.66,698.300975,0.0,,7.9,3000.0,15.6296614,0.084781101,,0.0,3.0
39,India,2005,13900527.19,715656,5.877519466,16.61901808,48.57530875,16.62,0.87,704.5093182,0.0,,7.8,4433.9,16.56290826,0.098864125,,0.0,4.43
40,India,2006,14552475.55,773784,5.661849048,17.54042472,47.44372171,17.54,1.26,744.4262522999999,0.0,,11.6,6315.0,17.41017417,0.145510226,,0.0,6.27
41,India,2007,15352261.19,823563,5.507649299,17.86408569,45.86780352,17.86,1.44,796.265175,0.0,,9.6,7844.5,18.92910864,0.184961844,,0.0,7.845
42,India,2008,16342885.25,848355,5.56214241,16.50983374,43.63288301,16.51,1.65,828.4135525,0.0,,25.1,10242.5,20.00481722,0.228126107,,0.0,9.655
43,India,2009,17750414.76,917302,5.646711932,15.66005525,40.77082759,15.66,2.06,879.70725,0.0,,27.7,10925.0,21.52434691,0.265121017,,0.0,10.925999999999998
44,India,2010,18684425.28,979416,5.353179242,16.04374444,39.48150873,16.04,2.02,937.4680375,0.0,,39.4,13184.0,22.55470758,0.31827361,,0.0,13.065
45,India,2011,19401668.04,1074536,5.232985711,17.31696286,38.93174021,17.32,2.36,1034.011325,0.0,,65.4,16179.0,23.88045003,0.393995542,,0.0,16.084
46,India,2012,19869435.09,1123049,5.199643316,15.73297336,38.39089015,15.73,2.87,1091.837883,0.0,,565.8,17299.7,25.11341421,0.460993993,,0.0,18.421
47,India,2013,20586036.18,1193480,4.98862544,17.34931383,37.84984118,17.35,3.07,1146.139133,0.0,,926.0,18420.4,26.0769452,0.518092339,,0.0,20.15
48,India,2014,21562801.38,1287398,4.960149499,16.25383982,36.65183786,16.25,3.27,1262.219968,0.2068,,3672.508,22465.3,27.86167507,0.5798712429999999,,0.0,22.465
49,India,2015,22241457.76,1383004,4.730910449,15.34305035,36.02122257,15.34,3.5,1317.29813,0.137685,,5593.484,25088.19,28.77081861,0.5973143329999999,,0.0,25.088
50,India,2016,..,..,..,..,..,15.49,4.12,1401.741765,0.104105,,9879.021,28700.44,30.06742863,0.7295890829999999,,0.0,28.7
51,United States,2000,58330543.36,4025885,7.335371396,8.205996942,5.429623689,8.81,0.52,4052.253106,18.0309984,2793.0,18.5,2377.0,95.13879198,0.86817837,100.0,0.139,2.61
52,United States,2001,57219712.6,3838831,7.128216809,6.783992314,4.67857121,7.42,0.56,3984.46789,12.22713092,2216.0,21.9,3864.0,92.89452493,0.886654935,,0.168,4.245
